t,q0,q1,q2,q3,q4,q5,x,y,z,roll,pitch,yaw
0.000000,-2.040460,-1.558230,2.514840,-0.959757,1.076000,-3.118030,0.005646,0.337996,0.100683,0.025196,0.022068,-1.568026
0.050000,-2.046497,-1.589939,2.471201,-0.884211,1.069963,-3.117931,0.011774,0.346840,0.118558,0.025192,0.022245,-1.568209
0.100000,-2.052534,-1.621649,2.427561,-0.808664,1.063926,-3.117833,0.017356,0.354371,0.137725,0.025188,0.022424,-1.568390
0.150000,-2.058571,-1.653358,2.383922,-0.733118,1.057890,-3.117734,0.022317,0.360501,0.158071,0.025184,0.022606,-1.568571
0.200000,-2.064608,-1.685067,2.340283,-0.657571,1.051853,-3.117635,0.026583,0.365151,0.179477,0.025180,0.022789,-1.568750
0.250000,-2.070645,-1.716777,2.296643,-0.582025,1.045816,-3.117537,0.030084,0.368253,0.201816,0.025176,0.022974,-1.568929
0.300000,-2.076682,-1.748486,2.253004,-0.506478,1.039779,-3.117438,0.032749,0.369748,0.224952,0.025172,0.023162,-1.569106
0.350000,-2.082719,-1.780195,2.209365,-0.430932,1.033743,-3.117339,0.034517,0.369587,0.248744,0.025167,0.023352,-1.569282
0.400000,-2.088756,-1.811905,2.165725,-0.355385,1.027706,-3.117241,0.035325,0.367733,0.273046,0.025163,0.023543,-1.569457
0.450000,-2.094793,-1.843614,2.122086,-0.279839,1.021669,-3.117142,0.035117,0.364159,0.297703,0.025159,0.023737,-1.569630
0.500000,-2.100830,-1.875323,2.078446,-0.204292,1.015632,-3.117043,0.033844,0.358850,0.322562,0.025155,0.023933,-1.569803
0.550000,-2.106867,-1.907032,2.034807,-0.128746,1.009595,-3.116945,0.031460,0.351802,0.347463,0.025151,0.024131,-1.569974
0.600000,-2.112904,-1.938742,1.991168,-0.053199,1.003559,-3.116846,0.027925,0.343022,0.372243,0.025146,0.024331,-1.570144
0.650000,-2.118941,-1.970451,1.947528,0.022347,0.997522,-3.116747,0.023206,0.332528,0.396742,0.025142,0.024533,-1.570313
